Name,Main story duration,Duration hrs
Dynasty Warriors 5,27.5 Hours,27.5
Dynasty Warriors 5: Empires,15 Hours,15.0
Dynasty Warriors 5: Xtreme Legends,9.5 Hours,9.5
Metroid: Other M,9.5 Hours,9.5
Samurai Warriors,14.5 Hours,14.5
Samurai Warriors 5,18.5 Hours,18.5
Samurai Warriors 2,31 Hours,31.0
Samurai Warriors 4-II,33 Hours,33.0
Samurai Warriors 4: Empires,33 Hours,33.0
Samurai Warriors 3,30 Hours,30.0
Samurai Warriors: State of War,10.5 Hours,10.5
Samurai Warriors 4,27 Hours,27.0
Samurai Warriors: Spirit of Sanada,21 Hours,21.0
Samurai Warriors: Chronicles,14 Hours,14.0
Samurai Shodown: Warriors Rage,33 Mins,0.55
Samurai Warriors: Xtreme Legends,10 Hours,10.0
Samurai Warriors: Katana,--,
Samurai Warriors: Chronicles 3,16.5 Hours,16.5
Samurai Warriors 2: Xtreme Legends,--,
Samurai Warriors 2 Empires,8 Hours,8.0
Alan Wake,11 Hours,11.0
Alan Wake's American Nightmare,3.5 Hours,3.5
Alan Wake Remastered,9 Hours,9.0
Alan Wake II,--,
Alan Wake: The Writer DLC,1.5 Hours,1.5
Alan Wake: The Signal DLC,1.5 Hours,1.5
Kirby: Planet Robobot,7 Hours,7.0
Fighting Force,4 Hours,4.0
Fighting Force 2,6.5 Hours,6.5
Resident Evil Zero,11.5 Hours,11.5
Resident Evil Zero: HD Remaster,10 Hours,10.0
Kid Icarus: Uprising,11.5 Hours,11.5
Army Men 3D,5 Hours,5.0
Manhunt,11 Hours,11.0
Manhunter,3.5 Hours,3.5
Cyber Manhunt,4 Hours,4.0
Green Lantern: Rise of the Manhunters,6 Hours,6.0
Manhunt 2,8 Hours,8.0
Manhunter: New York,4.5 Hours,4.5
Manhunter 2: San Francisco,--,
Silent Hill 2,8 Hours,8.0
Silent Hill 2: Born From A Wish,1 Hours,1.0
Silent Hill: Orphan 2,2 Hours,2.0
Jet Li: Rise to Honor,6.5 Hours,6.5
